AIT202,FIT201,MV201,P201,P203,P204,P205
1,1,1,0,1,0,1
1,1,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,0,0,1,0,0
1,1,1,0,1,0,1
1,1,1,0,1,0,1
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,1,0,1
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
0,0,0,0,0,0,0
1,1,1,0,1,0,1
1,1,1,0,1,0,1
0,0,0,0,0,0,0
1,1,0,0,0,0,0
1,1,0,0,0,0,0
1,1,1,0,1,0,1
1,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,1,1
0,0,0,0,0,0,0
1,1,1,0,1,0,1
0,1,0,1,0,0,0
0,1,1,0,1,0,1
0,0,0,0,0,0,0
0,1,1,1,1,0,1
0,0,0,0,0,0,0
0,1,1,1,1,0,1
0,1,0,0,0,0,0
0,1,0,0,0,0,0
0,1,0,0,1,0,1
0,1,1,1,1,0,1
0,1,1,0,1,0,1
0,1,1,0,1,0,1
0,1,1,1,1,0,1
0,1,0,0,0,0,0
0,1,1,1,1,0,1
